status,city,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banked,Glendale,2019,CA,7.38E+09,74698,14.86425746,29763,19773,25162,2924852,1302157,78962,74698,4264,77060,50076,19029,10450,18438,1501.7,107.29,150397,19186,54634,76577,49.08342587,44388,27989,8905,471,8334,5864,3951,0,10648,6343,3113,0,75,617,500,29.23553719,0,5.794515402,35.03005259,10648,659,2151,726,2078,2093,1413,1528,200232,6.188955672,20.20097671,6.818181818,33.2081142
underbanked,Hialeah,2019,FL,5.84E+09,86490,17.35153707,47977,24393,14120,2068852,931331,90383,86490,3893,56225,42351,11762,12088,15589,1879.4,143.96,201665,51723,92213,57729,71.37381301,66547,41525,10712,4852,57052,37458,28072,150,71481,61194,1555,310,686,4389,3347,2.175403254,0.4336816776,6.140093172,8.749178103,71481,4078,12237,6720,13228,13400,9777,12041,276500,5.705012521,17.11923448,9.401099593,32.2253466
banked,Hollywood,2019,FL,5.25E+09,61318,16.37453547,27671,19010,14637,2100326,1012618,74139,61318,12821,45316,25807,9354,7249,7785,1210.2,94.43,121132,15115,58656,47361,60.90133078,41807,28698,5021,857,10242,6653,5225,44,13408,10980,0,507,61,1486,374,0,3.781324582,11.08293556,14.86426014,13408,650,2861,762,2660,2671,1408,2396,168988,4.847852029,21.33800716,5.683174224,31.86903341
banked,Huntington,2019,NY,1.84E+09,11337,7.239920518,2259,2484,6594,1115555,514304,12350,11337,1013,23723,1642,766,347,362,181.7,24.92,22150,1036,6587,14527,34.41534989,8098,5656,1075,211,3644,2808,1611,0,4299,4018,51,26,21,92,91,1.186322401,0.604791812,2.140032566,3.931146778,4299,140,603,390,753,914,754,745,31202,3.256571296,14.02651779,9.071877181,26.35496627
underbanked,Jackson,2019,MS,3.70E+09,62451,22.21779813,37944,16197,8310,1996357,1164419,74834,62451,12383,40067,31054,13048,7372,8074,1693.3,134.44,108820,15551,55711,37558,65.48612387,55121,34169,8848,461,7616,3296,3991,2,8747,8286,39,110,0,107,205,0.4458671545,1.257574025,1.223276552,2.926717732,8747,332,1002,535,917,1324,1779,2858,170782,3.795587058,11.45535612,6.11638276,21.36732594
banked,Laguna Woods,2019,CA,5.63E+08,9173,34.84200359,5050,2673,1450,185321,110615,10262,9173,1089,5158,3039,691,632,1488,199.8,6.23,13517,872,5035,7610,43.70052526,843,376,232,71,3997,807,2385,0,4248,3746,0,0,114,376,12,0,0,8.851224105,8.851224105,4248,49,202,22,362,287,647,2679,14494,1.153483992,4.755178908,0.5178907721,6.426553672
underbanked,Laredo,2019,TX,5.01E+09,74119,14.48266202,39289,20463,14367,2530439,1258134,81857,74119,7738,48438,28028,11411,6614,6599,1902.4,212.92,150115,48579,62645,38891,74.09252906,105542,71704,12155,343,3657,2560,1807,0,4929,3965,38,0,0,272,654,0.7709474538,0,5.518360722,6.289308176,4929,416,971,294,901,972,642,733,271283,8.439845811,19.69973625,5.964698722,34.10428079
banked,Los Altos,2019,CA,4.28E+09,13633,4.279062508,1645,1433,10555,1974358,862031,14253,13633,620,30543,2688,1632,298,528,161.2,25.39,27299,576,2929,23794,12.83929814,10354,8896,682,320,8280,5233,3707,0,10672,9435,110,0,303,532,292,1.030734633,0,4.985007496,6.015742129,10672,706,1991,593,1060,2573,1702,2047,38443,6.615442279,18.65629685,5.556596702,30.82833583
banked,Manchester Township,2019,NJ,1.18E+09,19518,33.80581777,11424,4809,3285,336941,214735,21975,19518,2457,6093,2810,1086,476,927,291.2,13.41,30389,3879,17918,8592,71.7266116,2995,1788,255,62,701,402,395,0,792,682,62,0,2,17,29,7.828282828,0,2.146464646,9.974747475,792,16,94,86,102,202,124,168,33793,2.02020202,11.86868687,10.85858586,24.74747475
mixed,Maplewood,2019,MO,2.60E+08,4151,27.38790212,2205,1177,769,133982,98919,4583,4151,432,2545,2484,1298,557,574,85.8,5.69,5836,281,2388,3167,45.73337903,1902,1319,271,275,4584,2861,2606,38,5521,4955,215,0,10,18,323,3.894222061,0,0.3260278935,4.220249955,5521,244,816,316,1127,983,963,1072,8051,4.419489223,14.77993117,5.723600797,24.92302119
underbanked,Mesa,2019,AZ,1.58E+10,198098,16.11525693,86985,63973,47140,7657876,3806828,232917,198098,34819,135847,75723,35216,18898,17826,3675.5,333.1,362522,41282,191990,129250,64.34699136,155722,98269,16959,300,4613,899,1253,0,5051,3053,1776,8,18,34,162,35.16135419,0.1583844783,0.6731340329,35.9928727,5051,162,338,476,1426,1216,717,716,539768,3.207285686,6.691744209,9.42387646,19.32290636
banked,Morgan Hill,2019,CA,2.75E+09,17019,6.207456683,3210,3888,9921,1314187,517835,17520,17019,501,25489,4388,2207,953,1030,318.4,33.05,34791,2942,13713,18136,47.87157598,15012,11130,1919,2147,29413,20216,12458,24,38441,34437,825,31,630,1400,1118,2.146146042,0.0806430634,3.641944799,5.868733904,38441,1918,8457,3245,5916,9140,4902,4863,51712,4.989464374,21.99994797,8.441507765,35.43092011
banked,Mountain View,2019,CA,5.83E+09,30154,7.907090664,5811,4814,19529,2457536,1282357,32473,30154,2319,45711,17975,10820,3326,3343,446,43.13,53129,3771,10330,39028,26.54106044,17103,11108,2352,2055,31396,22401,14608,15,42396,38383,1871,51,721,642,728,4.413152184,0.1202943674,1.514293801,6.047740353,42396,3028,9329,2734,9051,8825,4326,5103,73491,7.142183225,22.00443438,6.448721578,35.59533918
banked,Naperville,2019,IL,8.73E+09,56319,5.970672577,9536,12898,33885,4177107,1765030,59238,56319,2919,65385,13423,7436,2970,2358,882.5,92.47,106329,3394,25347,77588,27.03025515,48176,34246,7281,393,11981,7417,5559,0,15442,12612,321,173,851,881,604,2.078746276,1.120321202,5.705219531,8.904287009,15442,904,3252,574,2417,3868,1585,2842,159714,5.854163968,21.05944826,3.717135086,30.63074731
underbanked,Newark,2019,NJ,5.67E+09,100262,22.29144577,62651,24236,13375,3054299,1917765,115055,100262,14793,97904,77942,29125,19527,25365,3205,228.81,182885,45141,99337,38407,78.99937119,86606,56294,11125,233,3282,1268,1462,13,3801,3540,171,0,0,12,78,4.498816101,0,0.3157063931,4.814522494,3801,190,383,208,846,937,548,689,281054,4.998684557,10.07629571,5.472244146,20.54722441
mixed,North Kansas City,2019,MO,1.98E+08,2844,34.81613286,1761,742,341,42386,30134,3437,2844,593,892,2245,1077,756,386,30.4,1.78,3896,338,2314,1244,68.0698152,1030,449,103,46,4735,1346,2773,0,4886,4656,0,0,0,196,34,0,0,4.011461318,4.011461318,4886,18,133,65,335,719,857,2759,5058,0.3683995088,2.722063037,1.33033156,4.420794106
banked,Oakdale,2019,CA,1.14E+09,11614,12.71411916,4253,3018,4343,393147,166433,12234,11614,620,7013,4090,1889,1176,659,131.6,14.19,21875,3019,12030,6826,68.79542857,10142,6553,1076,241,3776,2376,1888,0,4762,3139,162,49,166,702,544,3.401931961,1.02897942,14.74170517,19.17261655,4762,216,867,274,724,824,862,995,33451,4.535909282,18.20663587,5.753884922,28.49643007
underbanked,Oakland,2019,CA,1.80E+10,161126,14.16048742,59754,40821,60551,9203895,4752076,171946,161126,10820,198833,96099,44879,22601,24585,3473.3,293.73,306068,53737,100878,151453,50.51655188,99791,64985,13562,2235,23479,17330,12664,0,29858,19789,2066,41,1657,2626,3679,6.919418581,0.1373166321,8.794962824,15.85169804,29858,2416,4614,2886,7690,4498,3820,3934,421977,8.091633733,15.45314489,9.665751222,33.21052984
banked,Orinda,2019,CA,1.92E+09,6457,4.167137211,738,567,5152,897908,355745,6871,6457,414,14004,693,389,192,82,112.2,11.08,12975,236,1551,11188,13.77263969,4364,3699,374,1182,17843,13008,7893,0,24111,20838,425,35,678,1573,562,1.762680934,0.1451619593,6.523993198,8.431836091,24111,1579,5700,1507,3183,6204,3220,2718,17710,6.548878105,23.64066194,6.250259218,36.43979926
banked,Palo Alto,2019,CA,6.06E+09,27955,7.980476236,5788,5128,17039,2403169,1156920,30025,27955,2070,40093,14290,7398,3143,2974,389.5,41.26,49935,2981,6571,40383,19.12886753,19858,15132,2219,630,7822,5423,3554,0,9555,8830,18,0,10,334,363,0.1883830455,0,3.495552067,3.683935113,9555,627,1271,770,1518,2227,1622,1520,72527,6.562009419,13.30193616,8.058608059,27.92255364
underbanked,Phoenix,2019,AZ,4.21E+10,511952,15.81435585,232351,156940,122661,18448687,10114599,563796,511952,51844,352598,243522,119091,58244,53277,9249.5,908.05,939330,180091,429158,330081,64.85995337,467198,292078,44800,6228,70789,45942,32023,69,92919,41195,43653,344,1029,3261,3437,46.97962742,0.3702149184,3.509508281,50.85935062,92919,5841,19295,8362,18649,19590,10523,10659,1469241,6.286120169,20.76539782,8.999235894,36.05075388
banked,Pleasant Hill,2019,CA,1.93E+09,12846,7.070554007,2333,2621,7892,769695,339148,13350,12846,504,13531,3415,1814,763,685,181.8,15.33,24618,774,8093,15751,36.01836055,7286,5009,1098,234,5234,3567,2304,0,6392,6216,29,0,85,14,48,0.4536921151,0,0.2190237797,0.6727158949,6392,242,1067,457,849,1407,1074,1296,32996,3.785982478,16.69274093,7.149561952,27.62828536
banked,Potomac,2019,MD,1.50E+09,5501,1.669905271,275,601,4625,668126,271078,5591,5501,90,9280,200,60,47,46,56,8.84,11727,363,1270,10094,13.92513004,4502,3750,507,253,5764,5291,609,20,6512,4593,524,55,342,607,391,8.046683047,0.8445945946,9.321253071,18.21253071,6512,196,662,4479,635,358,121,61,16468,3.00982801,10.16584767,68.78071253,81.95638821
