status,city,year,state,total_tract_income,total_households_with_income,percent_householdsbelow50k_of_total,total_households_income_below_50k,total_households_income_50k_and_100k,total_households_income_100k_plus,bucket_annual_income_household,median_annual_income_individual,total_housing_units,occupied_housing_units,vacant_housing_units,median_monthly_housing_costs,total_households,total_rent_burden_normal,total_rent_burden_moderate,total_rent_burden_severe,percent_rent_burden_normal,percent_rent_burden_moderate,percent_rent_burden_severe,median_gross_rent_burden,avg_household_size,total_25_and_older,total_highest_not_graduate_hs,total_highest_graduate_hs,total_highest_college_degree,percent_graduate_hs,percent_no_college_degree,percent_college_degree,total_3_to_24,total_enrolled_pre_college,total_enrolled_higher_education,total_not_enrolled,total_employable,total_employed,complete_plumbing_occupied_housing,lacking_plumbing_occupied_housing,total_all_races,total_white_non_hispanic,total_african_american,total_native_american,total_asian,total_hispanic,total_other,percent_african_american,percent_native_american,percent_hispanic,percent_urm,total_all_ages,total_0_4,total_5_17,total_18_24,total_25_39,total_40_54,total_55_64,total_65_plus,total_population,percent_0_4,percent_5_17,percent_18_24,percent_children,percent_youth,percent_elderly
underbanked,Elkhart,2019,IN,2.42E+09,36619,18.26960799,18162,12329,6128,931506,520868,41615,36619,4996,15127,12474,5966,2736,2821,51.77471145,23.74381671,24.48147184,556.6,50.53,64603,12213,37023,15367,57.30848413,76.21317895,23.78682105,29856,20367,1715,712,7182,4318,3499,16,9099,6434,177,691,11,1081,705,1.945268711,7.594241125,11.88042642,21.41993626,9099,451,1762,876,1464,1633,1291,1622,99411,4.956588636,19.36476536,9.627431586,24.32135399,33.94878558,1.631610184
underbanked,Battle Creek,2019,MI,2.49E+09,37711,21.36675587,19801,10966,6944,1224506,674566,42343,37711,4632,20099,12382,5878,3180,2866,49.29553841,26.66890305,24.03555854,825.4,62.66,63162,5677,38703,18782,61.27576708,70.26376619,29.73623381,25863,16730,2577,2246,17161,10635,8854,7,23744,5037,17158,0,30,526,993,72.26246631,0,2.215296496,74.4777628,23744,2101,5304,2029,5112,3714,2740,2744,92672,8.848551213,22.33827493,8.545316712,31.18682615,39.73214286,2.960980663
underbanked,Bloomington,2019,IL,3.56E+09,36627,14.09829646,12960,10929,12738,1607225,894739,39548,36627,2921,23324,12857,7501,1830,2432,63.76774632,15.5572558,20.67499787,550.4,55.47,60105,2767,24229,33109,40.3111222,44.91473255,55.08526745,28421,17961,5440,498,5978,3879,2864,20,7724,7234,148,12,46,32,252,1.916105645,0.1553599171,0.4142931124,2.485758674,7724,393,1621,496,1451,1621,1035,1107,91926,5.088037286,20.98653547,6.421543242,26.07457276,32.496116,1.204229489
banked,Arlington Heights,2019,IL,4.36E+09,36544,10.82484009,9697,10248,16599,1886261,956680,38880,36544,2336,30495,10537,6098,2159,1929,59.86648341,21.19575888,18.93775771,565.8,49.11,65425,3597,21497,40331,32.85747039,38.35536874,61.64463126,20909,16060,1947,1450,14268,9975,6769,17,18212,15040,1551,66,532,696,327,8.516362838,0.3623984186,3.821656051,12.70041731,18212,1457,2704,1211,4102,3373,2813,2552,89581,8.000219635,14.84735339,6.649461893,22.84757303,29.49703492,2.848818388
underbanked,Charleston,2019,WV,2.86E+09,39090,22.81356242,19997,10935,8158,1340166,780661,45110,39090,6020,19295,13529,6364,2293,3094,54.15709301,19.51323292,26.32967407,835.2,60.51,63113,6369,32779,23965,51.93700189,62.02842521,37.97157479,21250,13418,1938,400,3049,1596,1502,0,3767,2209,1055,0,32,444,27,28.00637112,0,11.78656756,39.79293868,3767,250,590,438,499,701,530,759,87654,6.636580834,15.66233077,11.62728962,22.2989116,33.92620122,0.8659045794
underbanked,Deltona,2019,FL,1.76E+09,25765,15.05445795,11887,9978,3900,694057,339065,28274,25765,2509,13579,5530,2591,1113,1482,49.96143463,21.46162746,28.57693791,397.7,39.65,53732,6084,31921,15727,59.40780168,70.73066329,29.26933671,22335,15141,2615,280,3288,1767,1549,39,4328,3996,0,70,42,48,172,0,1.617375231,1.109057301,2.726432532,4328,219,856,246,537,926,748,796,78960,5.060073937,19.77818854,5.683918669,24.83826248,30.52218115,1.00810537
banked,Alameda,2019,CA,4.12E+09,30418,9.286569369,7292,7371,15755,1659954,836419,32346,30418,1928,32397,15830,8404,3539,3070,55.97815227,23.57290348,20.44894425,438.9,40.44,57946,5218,17254,35474,29.77599834,38.78093397,61.21906603,17886,12761,1871,534,10978,7095,5539,0,13537,12182,565,0,542,39,209,4.173746029,0,0.2880992834,4.461845313,13537,944,1907,591,1908,2688,2471,3028,78522,6.973480092,14.08731624,4.365812218,21.06079634,25.42660855,3.85624411
underbanked,Burlington,2019,NC,2.12E+09,31526,21.12178708,16509,9153,5864,855857,494227,34983,31526,3457,13975,12616,6300,2619,2839,53.58054091,22.27419629,24.1452628,465.9,41.41,53943,8482,28085,17376,52.06421593,67.7882209,32.2117791,21651,14261,1856,5536,66643,42989,35113,70,81938,58600,14229,360,3783,2284,2682,17.36556909,0.4393565867,2.787473456,20.59239913,81938,5494,11407,6527,17296,16032,11635,13547,78161,6.705069687,13.92150162,7.965779004,20.62657131,28.59235031,17.33217333
banked,White Plains,2019,NY,3.85E+09,28350,11.61812254,8588,6014,13748,1737015,791797,30499,28350,2149,33736,12788,6068,2794,3203,50.29423954,23.15789474,26.54786573,510.8,44,53420,6181,17452,29787,32.66941221,44.23998502,55.76001498,18477,12114,2804,2389,32508,24131,15715,15,39736,27491,1525,39,2169,2396,6116,3.837829676,0.09814777532,6.029796658,9.965774109,39736,2405,5757,3179,8668,8940,5132,5655,73919,6.052446145,14.4881216,8.000301993,20.54056775,28.54086974,7.650265832
underbanked,Dover,2019,DE,2.04E+09,27494,17.83871143,13135,8467,5892,858867,434574,30260,27494,2766,17165,11414,4477,3304,2949,41.72413793,30.79217148,27.48369059,542.3,39.97,47026,6116,25040,15870,53.24713988,66.25271127,33.74728873,23601,12161,5651,453,4175,2682,1932,8,5188,4906,4,31,0,79,168,0.07710100231,0.5975327679,1.522744796,2.197378566,5188,270,902,449,925,1149,744,749,73632,5.204317656,17.38627602,8.65458751,22.59059368,31.24518119,1.017220774
banked,Mountain View,2019,CA,5.83E+09,30154,7.907090664,5811,4814,19529,2457536,1282357,32473,30154,2319,45711,17975,10820,3326,3343,61.86745955,19.01766825,19.11487221,446,43.13,53129,3771,10330,39028,19.44324192,26.54106044,73.45893956,17103,11108,2352,2055,31396,22401,14608,15,42396,38383,1871,51,721,642,728,4.413152184,0.1202943674,1.514293801,6.047740353,42396,3028,9329,2734,9051,8825,4326,5103,73491,7.142183225,22.00443438,6.448721578,29.14661761,35.59533918,6.943707393
banked,Palo Alto,2019,CA,6.06E+09,27955,7.980476236,5788,5128,17039,2403169,1156920,30025,27955,2070,40093,14290,7398,3143,2974,54.73917869,23.25564188,22.00517943,389.5,41.26,49935,2981,6571,40383,13.15910684,19.12886753,80.87113247,19858,15132,2219,630,7822,5423,3554,0,9555,8830,18,0,10,334,363,0.1883830455,0,3.495552067,3.683935113,9555,627,1271,770,1518,2227,1622,1520,72527,6.562009419,13.30193616,8.058608059,19.86394558,27.92255364,2.09577123
underbanked,Binghamton,2019,NY,1.77E+09,27571,23.42995169,15229,7592,4750,921503,506328,32103,27571,4532,16831,12665,4935,2871,3953,41.96785441,24.41534144,33.61680415,744.7,47.53,43358,5117,21191,17050,48.87448683,60.67623045,39.32376955,19501,10050,4907,472,5128,2688,2566,0,6276,5861,61,0,51,244,59,0.9719566603,0,3.887826641,4.859783301,6276,346,927,398,1077,1234,858,1436,64998,5.513065647,14.77055449,6.341618866,20.28362014,26.62523901,2.209298748
banked,Yorba Linda,2019,CA,3.55E+09,21454,5.950110969,3807,4239,13408,1839631,767009,22107,21454,653,37455,3860,1453,1098,1159,39.16442049,29.59568733,31.23989218,436,41.66,44995,2071,14917,28007,33.15257251,37.75530615,62.24469385,17152,12537,2709,2006,49330,31363,20611,30,61740,52017,1287,8,2742,2781,2905,2.084548105,0.01295756398,4.504373178,6.601878847,61740,3218,11033,8340,7371,12736,9165,9877,63982,5.21218011,17.87010042,13.50826045,23.08228053,36.59054098,15.4371542
banked,Danville,2019,CA,4.89E+09,21291,4.10900505,2506,3151,15634,1576188,675239,22038,21291,747,30061,2799,1633,412,669,60.16949153,15.18054532,24.64996315,232.8,25.58,41196,829,8670,31697,21.0457326,23.05806389,76.94193611,18222,14032,2362,642,9983,7389,4476,0,13565,12371,10,1,936,117,130,0.07371913011,0.007371913011,0.8625138223,0.9436048655,13565,1204,2829,723,2353,3391,1599,1466,60988,8.875783266,20.85514191,5.329893107,29.73092518,35.06081828,2.403751558
underbanked,Blacksburg,2019,VA,1.69E+09,19976,15.54233135,9324,5306,5346,483466,239547,22909,19976,2933,9243,10923,4053,1529,3560,44.3338438,16.72500547,38.94115073,313,22.83,27980,1322,8035,18623,28.71694067,33.4417441,66.5582559,30479,5591,22668,212,2824,1851,1399,0,3679,3587,15,0,0,6,71,0.407719489,0,0.1630877956,0.5708072846,3679,227,713,207,638,767,502,625,59991,6.170154933,19.38026638,5.626528948,25.55042131,31.17695026,1.04182294
underbanked,Auburn,2019,AL,1.50E+09,21553,21.48386413,12156,4688,4709,441558,244123,26286,21553,4733,9763,11993,4372,2049,3965,42.09512806,19.72848065,38.1763913,432.8,28.92,26937,1639,9107,16191,33.80851617,39.89308386,60.10691614,28566,7882,18005,112,1870,857,946,6,2310,1682,13,440,16,47,112,0.5627705628,19.04761905,2.034632035,21.64502165,2310,123,375,93,356,387,341,635,56582,5.324675325,16.23376623,4.025974026,21.55844156,25.58441558,1.122265031
underbanked,Chambersburg,2019,PA,1.78E+09,22458,16.28807667,9042,7973,5443,604703,322702,23942,22458,1484,9246,7826,4475,1663,1240,60.65329358,22.53998374,16.80672269,259.4,24.3,39065,4277,20968,13820,53.67464482,64.62306412,35.37693588,14348,9365,1340,228,1768,1046,833,0,2372,2204,19,0,64,49,36,0.8010118044,0,2.065767285,2.866779089,2372,191,469,235,362,376,274,465,55513,8.05227656,19.77234401,9.907251265,27.82462057,37.73187184,0.8376416335
banked,Morgan Hill,2019,CA,2.75E+09,17019,6.207456683,3210,3888,9921,1314187,517835,17520,17019,501,25489,4388,2207,953,1030,52.67303103,22.74463007,24.5823389,318.4,33.05,34791,2942,13713,18136,39.41536604,47.87157598,52.12842402,15012,11130,1919,2147,29413,20216,12458,24,38441,34437,825,31,630,1400,1118,2.146146042,0.0806430634,3.641944799,5.868733904,38441,1918,8457,3245,5916,9140,4902,4863,51712,4.989464374,21.99994797,8.441507765,26.98941235,35.43092011,9.404006807
mixed,East Los Angeles,2019,CA,8.77E+08,13436,13.91781038,7058,4190,2188,524665,248384,14130,13436,694,12891,8836,3512,2301,2527,42.11031175,27.58992806,30.29976019,375.8,41.42,32503,14624,13752,4127,42.30994062,87.30271052,12.69728948,16221,10485,2460,476,8112,5402,3536,2,10018,9229,47,176,202,68,296,0.4691555201,1.756837692,0.6787781992,2.904771411,10018,637,1532,1214,1789,1113,1643,2090,50712,6.358554602,15.29247355,12.11818726,21.65102815,33.76921541,4.12131251
underbanked,East Stroudsburg,2019,PA,1.33E+09,14976,12.5690332,5667,5067,4242,522667,228667,20092,14976,5116,10511,4071,1843,907,1098,47.8950104,23.57068607,28.53430353,262.9,23.29,30312,2853,16795,10664,55.4070995,64.81921351,35.18078649,13874,7779,3064,155,1833,1243,921,5,2465,2224,7,0,17,99,118,0.2839756592,0,4.016227181,4.30020284,2465,195,492,180,422,445,339,392,45087,7.910750507,19.95943205,7.302231237,27.87018256,35.17241379,0.8694302127
underbanked,Barnstable,2019,MA,1.89E+09,18796,13.03427465,5788,6273,6735,835506,420088,26395,18796,7599,16988,4707,2027,1031,1322,46.27853881,23.53881279,30.1826484,386.9,25.72,33500,2108,15117,16275,45.12537313,51.41791045,48.58208955,10014,6867,885,687,7346,4808,3299,0,9351,8728,64,0,19,169,371,0.6844187787,0,1.807293338,2.491712116,9351,486,1726,648,1866,1802,1326,1497,44406,5.197305101,18.45791894,6.929740135,23.65522404,30.58496417,3.371166059
banked,West Hollywood,2019,CA,3.06E+09,27683,22.2424878,9756,7347,10580,689816,475883,30537,27683,2854,16639,22036,10853,5144,5285,50.99614698,24.17066065,24.83319237,268.3,14.22,39699,881,11377,27441,28.6581526,30.87735207,69.12264793,3509,1333,543,263,3799,2059,1658,9,4596,3547,28,50,2,853,116,0.6092254134,1.087902524,18.55961706,20.256745,4596,189,669,424,873,702,607,1132,43862,4.11227154,14.55613577,9.225413403,18.66840731,27.89382071,2.580821668
underbanked,Daphne,2019,AL,1.48E+09,15132,11.08921113,4726,4957,5449,288098,133178,16721,15132,1589,4831,3835,2096,814,698,58.09312639,22.56097561,19.345898,110.1,11.32,27794,989,11635,15170,41.86155285,45.41987479,54.58012521,13700,9230,978,930,9763,6428,4725,15,12604,7243,1431,0,1026,1774,1130,11.35353856,0,14.07489686,25.42843542,12604,767,2470,1265,2010,2477,1865,1750,42618,6.085369724,19.59695335,10.03649635,25.68232307,35.71881942,4.106246187
banked,Scarsdale,2019,NY,4.58E+09,14901,5.067607568,2140,2125,10636,1844859,839333,15773,14901,872,30712,1873,935,288,492,54.51895044,16.79300292,28.68804665,242.8,28.57,28814,809,4413,23592,15.31547165,18.12313459,81.87686541,12024,9535,1200,271,11133,5730,4909,0,13434,8782,51,2,3083,882,634,0.3796337651,0.01488759863,6.565430996,6.95995236,13434,532,2339,764,1121,2632,2413,3633,42229,3.960101236,17.4110466,5.687062677,21.37114783,27.05821051,8.603092661
underbanked,Coeur d'Alene,2019,ID,1.30E+09,17856,21.74965836,9072,5190,3594,543054,286207,21051,17856,3195,9721,7728,3530,2197,1614,48.08609181,29.92780275,21.98610544,301.7,22.99,29414,2137,15925,11352,54.14088529,61.40613313,38.59386687,10726,6007,1045,30,1899,1187,968,7,2170,2109,38,0,0,12,11,1.751152074,0,0.5529953917,2.304147465,2170,50,266,75,387,429,365,598,41711,2.304147465,12.25806452,3.456221198,14.56221198,18.01843318,1.43367457
underbanked,East St Louis,2019,IL,6.52E+08,16373,31.14843306,12593,2923,857,365030,285989,21750,16373,5377,9598,8777,2875,1825,2814,38.2619111,24.28799574,37.45009316,626.8,39.38,26393,5057,16728,4608,63.38044178,82.54082522,17.45917478,12353,8267,665,160,3432,1199,1823,46,4202,4037,0,0,0,165,0,0,0,3.926701571,3.926701571,4202,291,551,278,477,860,678,1067,40429,6.925273679,13.11280343,6.615897192,20.03807711,26.6539743,2.639194638
banked,Los Altos,2019,CA,4.28E+09,13633,4.279062508,1645,1433,10555,1974358,862031,14253,13633,620,30543,2688,1632,298,528,66.39544345,12.12367779,21.48087876,161.2,25.39,27299,576,2929,23794,10.72933074,12.83929814,87.16070186,10354,8896,682,320,8280,5233,3707,0,10672,9435,110,0,303,532,292,1.030734633,0,4.985007496,6.015742129,10672,706,1991,593,1060,2573,1702,2047,38443,6.615442279,18.65629685,5.556596702,25.27173913,30.82833583,5.324766537
underbanked,Atlantic City,2019,NJ,7.74E+08,15504,28.8981289,10981,2935,1588,412813,270733,20429,15504,4925,13502,11281,4483,3018,3302,41.49773211,27.93668425,30.56558363,519.4,34.3,24991,6582,13219,5190,52.89504222,79.23252371,20.76747629,11365,7079,1561,350,4271,2001,2275,6,5079,5049,9,0,0,5,16,0.1772002363,0,0.0984445757,0.275644812,5079,225,706,260,705,1024,794,1365,37999,4.430005907,13.90037409,5.119117937,18.33038,23.44949793,3.592199795
underbanked,Carbondale,2019,IL,8.55E+08,13716,24.15980254,8418,2779,2519,330413,176161,17295,13716,3579,6318,7956,2430,1790,2806,34.58582408,25.47680046,39.93737546,296.1,17.92,19461,1088,8311,10062,42.70592467,48.29659319,51.70340681,14651,3992,8660,60,3015,1674,1599,0,3362,2832,87,20,116,134,173,2.58774539,0.5948839976,3.985722784,7.168352171,3362,92,329,106,410,626,777,1022,34843,2.736466389,9.785841761,3.152885187,12.52230815,15.67519334,2.933157306
banked,Manchester Township,2019,NJ,1.18E+09,19518,33.80581777,11424,4809,3285,336941,214735,21975,19518,2457,6093,2810,1086,476,927,43.63198072,19.12414624,37.24387304,291.2,13.41,30389,3879,17918,8592,58.96212445,71.7266116,28.2733884,2995,1788,255,62,701,402,395,0,792,682,62,0,2,17,29,7.828282828,0,2.146464646,9.974747475,792,16,94,86,102,202,124,168,33793,2.02020202,11.86868687,10.85858586,13.88888889,24.74747475,0.497144379
banked,Oakdale,2019,CA,1.14E+09,11614,12.71411916,4253,3018,4343,393147,166433,12234,11614,620,7013,4090,1889,1176,659,50.72502685,31.57894737,17.69602578,131.6,14.19,21875,3019,12030,6826,54.99428571,68.79542857,31.20457143,10142,6553,1076,241,3776,2376,1888,0,4762,3139,162,49,166,702,544,3.401931961,1.02897942,14.74170517,19.17261655,4762,216,867,274,724,824,862,995,33451,4.535909282,18.20663587,5.753884922,22.74254515,28.49643007,2.974500015
banked,Pleasant Hill,2019,CA,1.93E+09,12846,7.070554007,2333,2621,7892,769695,339148,13350,12846,504,13531,3415,1814,763,685,55.61005518,23.39055794,20.99938688,181.8,15.33,24618,774,8093,15751,32.8743196,36.01836055,63.98163945,7286,5009,1098,234,5234,3567,2304,0,6392,6216,29,0,85,14,48,0.4536921151,0,0.2190237797,0.6727158949,6392,242,1067,457,849,1407,1074,1296,32996,3.785982478,16.69274093,7.149561952,20.4787234,27.62828536,3.927748818
banked,Rexburg,2019,ID,4.96E+08,9262,17.92809113,5839,2334,1089,210512,73031,12062,9262,2800,4040,5593,1715,1641,2136,31.22723962,29.8798252,38.89293518,173.7,19.22,13297,594,5933,6770,44.61908701,49.08626006,50.91373994,17098,6072,7703,151,1567,873,691,0,2088,700,1388,0,0,0,0,66.47509579,0,0,66.47509579,2088,139,427,198,416,400,260,248,32569,6.657088123,20.45019157,9.482758621,27.10727969,36.59003831,0.7614602843
underbanked,Bangor,2019,ME,1.01E+09,13805,22.86649011,7339,3603,2863,398801,209817,15510,13805,1705,7001,7141,3480,1725,1668,50.63291139,25.09821039,24.26887822,232.3,17.11,22785,1496,11049,10240,48.49242923,55.05815229,44.94184771,8339,4320,2241,605,7347,3733,3874,0,9481,9158,103,0,66,0,154,1.086383293,0,0,1.086383293,9481,507,1840,588,1829,1405,1189,2123,32095,5.34753718,19.40723552,6.201877439,24.7547727,30.95665014,6.614737498
banked,Aberdeen,2019,SD,1.01E+09,13287,19.31076217,6063,4438,2786,323935,182235,14449,13287,1162,4773,5466,3296,1095,838,63.03308472,20.94090648,16.0260088,142.9,13.57,20449,1564,10360,8525,50.66262409,58.31091985,41.68908015,9683,5668,1593,114,1975,1109,1104,0,2445,2368,11,11,40,15,0,0.4498977505,0.4498977505,0.6134969325,1.513292434,2445,201,343,112,645,307,262,575,31397,8.220858896,14.02862986,4.580777096,22.24948875,26.83026585,1.831385164
banked,Huntington,2019,NY,1.84E+09,11337,7.239920518,2259,2484,6594,1115555,514304,12350,11337,1013,23723,1642,766,347,362,51.93220339,23.52542373,24.54237288,181.7,24.92,22150,1036,6587,14527,29.73814898,34.41534989,65.58465011,8098,5656,1075,211,3644,2808,1611,0,4299,4018,51,26,21,92,91,1.186322401,0.604791812,2.140032566,3.931146778,4299,140,603,390,753,914,754,745,31202,3.256571296,14.02651779,9.071877181,17.28308909,26.35496627,2.387667457
banked,Rochester,2019,NH,9.91E+08,12780,16.66289775,5158,4570,3052,390092,183673,13522,12780,742,7010,4179,2188,777,1068,54.25241756,19.26605505,26.4815274,196.4,14.67,21983,2324,12410,7249,56.45271346,67.02451895,32.97548105,8394,5343,755,226,3401,2101,1738,0,4328,4057,22,0,0,130,119,0.5083179298,0,3.003696858,3.512014787,4328,256,779,273,793,815,669,743,30955,5.914972274,17.99907579,6.307763401,23.91404806,30.22181146,2.40025844
banked,Abbeville,2019,LA,7.44E+08,11096,18.28715365,5445,3331,2320,320224,162773,13022,11096,1926,3625,2882,1124,436,559,53.04388863,20.57574328,26.3803681,163.2,15.77,19932,4590,10680,4662,53.58217941,76.61047562,23.38952438,8574,5879,606,462,5840,3710,3067,7,7284,6812,232,0,19,102,119,3.185063152,0,1.400329489,4.585392641,7284,363,1174,375,1432,1257,1041,1642,29775,4.983525535,16.11751785,5.148270181,21.10104338,26.24931356,5.514693535
underbanked,Aberdeen,2019,WA,7.12E+08,10422,17.77495363,5175,3335,1912,308743,144483,13011,10422,2589,4837,3902,1986,843,803,54.68061674,23.21035242,22.10903084,183.9,15.29,20690,2193,13380,5117,64.66892218,75.26824553,24.73175447,7442,4826,555,475,11830,5829,5363,0,14257,10149,501,0,213,2046,1348,3.514063267,0,14.3508452,17.86490847,14257,697,2083,760,2644,2240,2183,3650,29114,4.888826541,14.61036684,5.330714737,19.49919338,24.82990812,12.53692382
banked,Deer Park,2019,NY,1.04E+09,8904,7.807350179,2203,2556,4145,655733,276196,9562,8904,658,14397,1704,668,412,476,42.93059126,26.4781491,30.59125964,226.5,22.15,20058,1849,10010,8199,49.9052747,59.12354173,40.87645827,7261,4790,1056,303,5347,3239,2353,0,6507,5798,193,11,93,362,50,2.966036576,0.1690487168,5.563239588,8.698324881,6507,288,1139,425,1032,1196,1039,1388,28217,4.426002766,17.50422622,6.531427693,21.93022898,28.46165668,4.919020449
banked,Westport,2019,CT,3.21E+09,9916,5.293403769,1483,1111,7322,1211286,462360,10931,9916,1015,19680,1468,787,217,322,59.35143288,16.36500754,24.28355958,173.8,16.31,18635,391,3150,15094,16.90367588,19.00187819,80.99812181,8711,7014,1030,187,5107,3242,2210,0,6765,5609,46,0,744,178,188,0.6799704361,0,2.631189948,3.311160384,6765,265,1762,330,655,1717,1072,964,28016,3.91722099,26.04582409,4.87804878,29.96304508,34.84109387,3.440890919
underbanked,East Palo Alto,2019,CA,6.54E+08,5261,6.814659495,1495,1459,2307,239355,87281,5564,5261,303,6242,2324,1141,389,612,53.26797386,18.16059757,28.57142857,98.9,12.89,13795,4466,6062,3267,43.94345777,76.31750634,23.68249366,7484,4935,899,1042,14462,8499,6212,45,17412,13260,61,13,2,3313,763,0.3503331036,0.07466115323,19.02710774,19.452102,17412,676,2841,1236,2243,3581,3111,3724,21938,3.882379968,16.31633356,7.098552722,20.19871353,27.29726625,16.97511168
banked,Aberdeen,2019,MD,6.38E+08,7511,16.80896478,3150,2226,2135,307279,160627,8435,7511,924,5573,3136,1241,834,786,43.3764418,29.15064663,27.47291157,171.6,12.68,12996,1744,7129,4123,54.8553401,68.2748538,31.7251462,5044,3013,479,201,2609,1767,1410,13,3260,3104,0,58,1,23,74,0,1.779141104,0.7055214724,2.484662577,3260,184,513,243,506,555,525,734,18740,5.644171779,15.73619632,7.45398773,21.3803681,28.83435583,3.916755603
banked,Rochester,2019,MI,1.16E+09,7010,7.255588473,1347,1494,4169,740695,341378,7491,7010,481,10248,1318,707,254,312,55.53809898,19.95286724,24.50903378,123.8,15.74,12510,202,3407,8901,27.23421263,28.84892086,71.15107914,5651,4037,827,207,5920,3932,2533,0,7277,5265,139,14,955,411,493,1.9101278,0.1923869727,5.64793184,7.750446613,7277,364,1263,615,1150,1483,1151,1251,18565,5.002061289,17.35605332,8.45128487,22.35811461,30.80939948,6.738486399
banked,Orinda,2019,CA,1.92E+09,6457,4.167137211,738,567,5152,897908,355745,6871,6457,414,14004,693,389,192,82,58.67269985,28.95927602,12.36802413,112.2,11.08,12975,236,1551,11188,11.95375723,13.77263969,86.22736031,4364,3699,374,1182,17843,13008,7893,0,24111,20838,425,35,678,1573,562,1.762680934,0.1451619593,6.523993198,8.431836091,24111,1579,5700,1507,3183,6204,3220,2718,17710,6.548878105,23.64066194,6.250259218,30.18954004,36.43979926,15.34726143
underbanked,East Cleveland,2019,OH,2.89E+08,8235,39.64534884,6819,1059,357,249946,179998,13297,8235,5062,6942,5680,2311,1080,1653,45.81681205,21.41157811,32.77160983,406.5,23.3,11971,2111,7736,2124,64.62283853,82.25712138,17.74287862,4343,2579,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17200,0,0,0,0,0,0
banked,Potomac,2019,MD,1.50E+09,5501,1.669905271,275,601,4625,668126,271078,5591,5501,90,9280,200,60,47,46,39.21568627,30.71895425,30.06535948,56,8.84,11727,363,1270,10094,10.82970922,13.92513004,86.07486996,4502,3750,507,253,5764,5291,609,20,6512,4593,524,55,342,607,391,8.046683047,0.8445945946,9.321253071,18.21253071,6512,196,662,4479,635,358,121,61,16468,3.00982801,10.16584767,68.78071253,13.17567568,81.95638821,0.370415351
underbanked,Aberdeen,2019,MS,3.59E+08,5980,22.2172949,3507,1601,872,160864,101229,7179,5980,1199,2280,1704,754,417,218,54.28365731,30.02159827,15.69474442,100.2,10.21,11005,2254,6381,2370,57.98273512,78.46433439,21.53566561,4437,3072,217,529,7068,3527,3113,11,8977,6049,465,25,0,513,1925,5.1799042,0.2784894731,5.714603988,11.17299766,8977,417,1765,608,1829,1781,1118,1459,15785,4.645204411,19.6613568,6.772863986,24.30656121,31.0794252,9.24295217
banked,Rochester,2019,IN,4.11E+08,5951,18.25505993,2787,2171,993,216298,114065,7527,5951,1576,2971,1571,749,429,298,50.74525745,29.06504065,20.1897019,108.5,10.16,10434,1119,6794,2521,65.11405022,75.83860456,24.16139544,4324,2982,488,284,3364,1943,1658,10,4070,3956,24,0,6,65,19,0.5896805897,0,1.597051597,2.186732187,4070,193,595,275,620,843,644,900,15267,4.742014742,14.61916462,6.756756757,19.36117936,26.11793612,5.895067793
underbanked,California,2019,MD,5.68E+08,5428,8.522193912,1271,1888,2269,185734,89366,5744,5428,316,3320,1717,920,445,328,54.34140579,26.28470171,19.3738925,56.9,5.52,9660,852,4280,4528,44.30641822,53.126294,46.873706,4728,3035,558,1045,32170,19387,12526,87,38213,18501,2051,377,5364,5994,5926,5.367283385,0.9865752493,15.68576139,22.03962002,38213,1753,5296,6005,5649,7234,4701,7575,14914,4.587444064,13.85915788,15.71454741,18.44660194,34.16114935,50.7912029
underbanked,Abbeville,2019,SC,3.42E+08,5972,25.52301255,3721,1389,862,110771,68445,7584,5972,1612,1719,1439,560,278,356,46.90117253,23.28308208,29.81574539,105.9,7.26,10421,1898,5365,3158,51.48258325,69.69580654,30.30419346,3676,2373,222,320,3871,2419,2168,5,5025,4691,31,73,0,45,185,0.6169154229,1.452736318,0.8955223881,2.965174129,5025,421,926,337,961,775,627,978,14579,8.378109453,18.4278607,6.706467662,26.80597015,33.51243781,6.708279031
banked,Laguna Woods,2019,CA,5.63E+08,9173,34.84200359,5050,2673,1450,185321,110615,10262,9173,1089,5158,3039,691,632,1488,24.58199929,22.4831021,52.93489861,199.8,6.23,13517,872,5035,7610,37.24938966,43.70052526,56.29947474,843,376,232,71,3997,807,2385,0,4248,3746,0,0,114,376,12,0,0,8.851224105,8.851224105,4248,49,202,22,362,287,647,2679,14494,1.153483992,4.755178908,0.5178907721,5.9086629,6.426553672,18.48351042
banked,Rifle,2019,CO,3.69E+08,4834,12.02781163,1678,1931,1225,132899,70966,5211,4834,377,2156,1380,618,304,217,54.25812116,26.69007902,19.05179982,57.7,5.59,8874,1437,5014,2423,56.50214109,72.69551499,27.30448501,4600,3182,240,258,3482,2508,1580,12,4258,3165,599,0,84,149,261,14.06763739,0,3.499295444,17.56693283,4258,236,739,396,792,1026,512,557,13951,5.54250822,17.35556599,9.300140911,22.89807421,32.19821512,3.992545337
banked,Bronxville,2019,NY,1.12E+09,3754,4.111180624,460,562,2732,549389,217564,4027,3754,273,9330,594,244,117,163,46.5648855,22.32824427,31.10687023,104.6,8.87,6922,283,1246,5393,18.00057787,22.08899162,77.91100838,3790,2626,877,2369,48203,32939,21175,9,62386,40403,2611,68,11116,3849,4339,4.185233867,0.1089988138,6.169653448,10.46388613,62386,3708,12293,4374,8814,14580,8805,9812,11189,5.943641202,19.70474145,7.011188408,25.64838265,32.65957106,87.69327018
